Name,Park,City,State,Country,Type,Construction,Height,Speed,Length,Inversions,Numinversions,Duration,GForce,Opened,Region
Goliath,Six Flags Fiesta Texas,San Antonio,TX,US,S,Steel,32.004,81,820.826,Yes,5,120,"",2008,North America
Batman The Ride,Six Flags Over Texas,Arlington,TX,US,S,Steel,32.004,81,822.96,Yes,5,120,4,1999,North America
Batman The Ride,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,32.004,81,822.96,Yes,5,120,4,1994,North America
Space Mountain: Mission 2,Disneyland Resort Paris - Disneyland Park,"Marne la Vallï¿½e, Ile-de-France",F,F,S,Steel,32,71,1000,Yes,3,125,"",1995,Europe
Medusa,Six Flags Mexico,Mexico City,MX,MX,W,Wood,32,88.5,955.8,No,0,"","",2000,Latin America
Demon,Six Flags Great America,Gurnee,IL,US,S,Steel,31.0896,81,649.224,Yes,4,105,"",1976,North America
Flight Deck,California's Great America,Santa Clara,CA,US,S,Steel,31.0896,81,688.848,Yes,3,146,"",1993,North America
Demon,California's Great America,Santa Clara,CA,US,S,Steel,31.0896,81,649.224,Yes,4,105,"",1976,North America
Twister II,Elitch Gardens,Denver,CO,US,W,Wood,30.48,89.1,1414.27,No,0,"",3.1,1995,North America
Viper,Six Flags Great America,Gurnee,IL,US,W,Wood,30.48,81,1054,No,0,105,"",1995,North America
Iron Wolf,Six Flags Great America,Gurnee,IL,US,S,Steel,30.48,89.1,883.92,Yes,2,120,"",1990,North America
Batman The Ride,Six Flags Great America,Gurnee,IL,US,S,Steel,30.48,81,822.96,Yes,5,120,"",1992,North America
Journey to Atlantis,SeaWorld San Antonio,San Antonio,TX,US,S,Steel,30.48,"","",No,0,210,"",2007,North America
Legend,Holiday World,Santa Claus,IN,US,W,Wood,30.1752,95.58,1232,No,0,120,"",2000,North America
Mammut,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",D,D,W,Wood,30,90,860,No,0,"","",2008,Europe
Big Loop,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,30,63,706,Yes,4,"","",1983,Europe
Atlantica SuperSplash,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,30,80,390,No,0,200,"",2005,Europe
Tonnerre de Zeus,Parc Astï¿½rix,"Plailly, Picardie",F,F,W,Wood,30,84,1232.6,No,0,125,"",1997,Europe
EuroLoop,Europark,"Vias, Languedoc-Roussillon",F,F,S,Steel,30,65,"",Yes,4,"","",2004,Europe
Half Pipe,Elitch Gardens,Denver,CO,US,S,Steel,29.8704,69.66,69.7992,No,0,120,4.5,2004,North America
Boardwalk Bullet,Kemah Boardwalk,Kemah,TX,US,W,Wood,29.2608,82.62,986.333,No,0,"","",2007,North America
Steel Hawg,Indiana Beach,Monticello,IN,US,S,Steel,29.2608,66.42,"",Yes,2,"","",2008,North America
Terminator Salvation: The Coaster,Six Flags Magic Mountain,Valencia,CA,US,W,Wood,28.956,81,876.91,No,0,180,"",2009,North America
Journey to Atlantis,SeaWorld San Diego,San Diego,CA,US,S,Steel,28.956,68.04,"",No,0,300,3,2004,North America
Roar,Six Flags Discovery Kingdom,Vallejo,CA,US,W,Wood,28.6512,81,1003.1,No,0,"","",1999,North America
Euro Mir,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,28,80,980,No,0,273,4,1997,Europe
Bandit,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,W,Wood,27.8,80,1099,No,0,90,"",1999,Europe
Vortex,California's Great America,Santa Clara,CA,US,S,Steel,27.7368,64.8,585.216,Yes,2,134,"",1991,North America
Grizzly,California's Great America,Santa Clara,CA,US,W,Wood,27.7368,89.1,990.6,No,0,160,"",1986,North America
Screamer,Scandia Amusement Park,Ontario,CA,US,S,Steel,27.432,81,792.48,No,0,116,"",1995,North America
Schweizer Bobbahn,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,27,53,990,No,0,100,"",1994,Europe
Nessie Superrollercoaster,Hansa Park,"Sierksdorf, Schleswig-Holstein",D,D,S,Steel,26,79,741,Yes,1,130,"",1979,Europe
Colorado Adventure,Phantasialand,"Brï¿½hl, North Rhine-Westphalia",D,D,S,Steel,26,50,1280,No,0,175,"",1996,Europe
Black Mamba,Phantasialand,"Brï¿½hl, North Rhine-Westphalia",D,D,S,Steel,26,80,"",Yes,4,"",4,2006,Europe
Corkscrew,Cedar Point,Sandusky,OH,US,S,Steel,25.908,77.76,624.84,Yes,3,120,"",1976,North America
Eurosat,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,25.5,60,900,No,0,198,4,1989,Europe
El Toro,Freizeitpark Plohn,"Lengenfeld, Saxony",D,D,W,Wood,24.5,73.4,725.1,No,0,"","",2009,Europe
Looping Star,Playcenter Sï¿½o Paulo,Sï¿½o Paulo,BR,BR,S,Steel,24.5,77,592,Yes,1,"","","",Latin America
Rock 'n' Roller Coaster,Disneyland Resort Paris - Walt Disney Studios Park,"Marne la Vallï¿½e, Ile-de-France",F,F,S,Steel,24.4,92,1037.2,Yes,3,70,5,2002,Europe
Cyclone,Lakeside Amusement Park,Denver,CO,US,W,Wood,24.384,"",853.44,No,0,120,"",1940,North America
Texas Tornado,Wonderland Amusement Park,Amarillo,TX,US,S,Steel,24.384,"",624.84,Yes,2,"","",1985,North America
Raven,Holiday World,Santa Claus,IN,US,W,Wood,24.384,77.76,853.44,No,0,90,"",1995,North America
Matterhorn Bobsleds,Disneyland,Anaheim,CA,US,S,Steel,24.384,"","",No,0,"","",1959,North America
Flight Deck,Kings Island,Kings Mills,OH,US,S,Steel,23.7744,82.62,716.89,No,0,112,"",1993,North America
Blue Streak,Cedar Point,Sandusky,OH,US,W,Wood,23.7744,64.8,779.678,No,0,105,"",1964,North America
Poltergeist,Six Flags Fiesta Texas,San Antonio,TX,US,S,Steel,23.7744,97.2,824.484,Yes,4,75,4.5,1999,North America
Hoosier Hurricane,Indiana Beach,Monticello,IN,US,W,Wood,23.4696,82.62,881.177,No,0,"","",1994,North America
Iron Dragon,Cedar Point,Sandusky,OH,US,S,Steel,23.1648,64.8,853.44,No,0,120,"",1987,North America
Poseidon,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,23,70,836,No,0,240,3,2000,Europe
Super Wirbel,Holiday Park,"Hassloch, Rhineland-Palatinate",D,D,S,Steel,22.9,64.4,731.5,Yes,2,85,"",1979,Europe
Star World Mountain,Beto Carrero World,"Penha, SC",BR,BR,S,Steel,22.9,64.4,731.5,Yes,2,"","","",Latin America
Titan Cascabel,Selva Mï¿½gica,Guadalajara,MX,MX,S,Steel,22.9,88.5,762,No,0,"","",1994,Latin America
Timberhawk: Ride of Prey,Wild Waves Theme Park,Federal Way,WA,US,W,Wood,22.86,81,792.48,No,0,"","",2003,North America
Flight of Fear,Kings Island,Kings Mills,OH,US,S,Steel,22.5552,87.48,824.484,Yes,4,60,4.5,1996,North America
Road Runner Express,Six Flags Fiesta Texas,San Antonio,TX,US,S,Steel,22.2504,"",731.52,No,0,144,"",1997,North America
Giant Dipper,Belmont Park,San Diego,CA,US,W,Wood,22.2504,89.1,792.48,No,0,"","",1925,North America
Big Thunder Mountain,Disneyland Resort Paris - Disneyland Park,"Marne la Vallï¿½e, Ile-de-France",F,F,S,Steel,22,65,1500,No,0,236,"",1992,Europe
Judge Roy Scream,Six Flags Over Texas,Arlington,TX,US,W,Wood,21.6408,85.86,813.816,No,0,90,"",1980,North America
Whizzer,Six Flags Great America,Gurnee,IL,US,S,Steel,21.336,68.04,944.88,No,0,120,"",1976,North America
Gold Rusher,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,21.336,56.7,789.432,No,0,150,"",1971,North America
Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,CA,US,W,Wood,21.336,89.1,804.672,No,0,112,"",1924,North America
Corkscrew,Salitre Mï¿½gico,Bogotï¿½,CO,CO,S,Steel,21.3,"",381,Yes,2,70,"",2000,Latin America
Spatiale Expï¿½rience,Nigloland,"Dolancourt, Champagne-Ardenne",F,F,S,Steel,20,60,800,No,0,135,4.5,2000,Europe
Runaway Mountain,Six Flags Over Texas,Arlington,TX,US,S,Steel,19.812,64.8,457.2,No,0,"","",1996,North America
Jaguar!,Knott's Berry Farm,Buena Park,CA,US,S,Steel,19.812,56.7,793.09,No,0,120,"",1995,North America
Wirbelwind,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",D,D,S,Steel,19.5,60,350,Yes,2,60,"",1982,Europe
Super Tornado,Zoo Safari- und Hollywoodpark Stukenbrock,"Stukenbrock, North Rhine-Westphalia",D,D,S,Steel,19.5,60,350,Yes,2,"","",1981,Europe
Devil's Mine,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",D,D,S,Steel,19.5,"",410,No,0,75,"",1996,Europe
Super Tornado,Mirobillandia,"Olinda, PB",BR,BR,S,Steel,19.5,60,350,Yes,2,"","",2008,Latin America
Bocaraca,Parque de Diversiones Dr Roberto Ortiz Brenes,"San Josï¿½, CR",CR,CR,S,Steel,19.5,60,350,Yes,2,"","",2005,Latin America
Tornado,Bosque Mï¿½gico,Guadalupe,MX,MX,S,Steel,19.5,60,350,Yes,2,"","",2001,Latin America
Disaster Transport,Cedar Point,Sandusky,OH,US,S,Steel,19.2024,64.8,588.874,No,0,152,"",1985,North America
Adventure Express,Kings Island,Kings Mills,OH,US,S,Steel,19.2024,56.7,903.122,No,0,140,"",1991,North America
Schweizer Bobbahn,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,19,50,487,No,0,105,3,1985,Europe
Desert Race,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,19,100,650,No,0,49,"",2007,Europe
Sierra Sidewinder,Knott's Berry Farm,Buena Park,CA,US,S,Steel,18.8976,59.94,429.768,No,0,"",3.3,2007,North America
La Vibora,Six Flags Over Texas,Arlington,TX,US,S,Steel,18.288,51.84,454.152,No,0,90,"",1987,North America
Ninja,Six Flags Magic Mountain,Valencia,CA,US,S,Steel,18.288,89.1,822.96,No,0,90,"",1988,North America
Bambo Coaster,Salitre Mï¿½gico,Bogotï¿½,CO,CO,S,Steel,18,90.1,860.1,Yes,2,"","",2004,Latin America
Heiï¿½e Fahrt,Wild- und Freizeitpark Klotten/Cochem,"Klotten, Rhineland-Palatinate",D,D,S,Steel,17.5,55,532,No,0,80,"",2004,Europe
Winjas,Phantasialand,"Brï¿½hl, North Rhine-Westphalia",D,D,S,Steel,17.4,66,465,No,0,"","",2002,Europe
Broco,Parque Nacional del Cafï¿½,Montenegro,CO,CO,S,Steel,17.3,66.2,787.3,No,0,151,2.1,1999,Latin America
Sidewinder,Elitch Gardens,Denver,CO,US,S,Steel,17.0688,72.9,193.548,Yes,1,66,4,1995,North America
Azteka,Le Pal,"Dompierre Sur Besbre, Centre",F,F,S,Steel,17,55,500,No,0,"","",2003,Europe
Cornball Express,Indiana Beach,Monticello,IN,US,W,Wood,16.764,72.9,640.08,No,0,"","",2001,North America
Coaster Thrill Ride,Puyallup Fair,Puyallup,WA,US,W,Wood,16.764,81,807.72,No,0,105,"",1935,North America
Santa Monica West Coaster,Pacific Park,Santa Monica,CA,US,S,Steel,16.764,"",396.24,No,0,"","",1996,North America
Tony Hawk's Big Spin,Six Flags Over Texas,Arlington,TX,US,S,Steel,16.1544,50.22,411.785,No,0,111,"",2008,North America
Tony Hawk's Big Spin,Six Flags Discovery Kingdom,Vallejo,CA,US,S,Steel,16.1544,50.22,411.785,No,0,111,"",2008,North America
Rasender Roland,Hansa Park,"Sierksdorf, Schleswig-Holstein",D,D,S,Steel,16,50,522,No,0,70,"",1993,Europe
Matterhorn Blitz,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,16,56.3,383,No,0,185,"",1999,Europe
G'sengte Sau,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",D,D,S,Steel,16,"",480,No,0,"",3,1998,Europe
Feuerdrache,Legoland Deutschland,"Gï¿½nzburg, Bavaria",D,D,S,Steel,16,60,860,No,0,"","",2002,Europe
Project X - Test Strecke,Legoland Deutschland,"Gï¿½nzburg, Bavaria",D,D,S,Steel,15.8,56,400,No,0,"","",2002,Europe
Technic Coaster,Legoland California,Carlsbad,CA,US,S,Steel,15.5448,56.7,399.898,No,0,"","",2001,North America
Wildcat,Cedar Point,Sandusky,OH,US,S,Steel,15.24,64.8,559.918,No,0,85,"",1979,North America
Pegasus,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,15,65,400,No,0,70,"",2006,Europe
Crazy Mine,Hansa Park,"Sierksdorf, Schleswig-Holstein",D,D,S,Steel,15,45,370,No,0,70,"",1997,Europe
Wild Train,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,15,"",320,No,0,"","",2000,Europe
Wilde Maus,Europark,"Vias, Languedoc-Roussillon",F,F,S,Steel,15,45,370,No,0,70,"",2007,Europe
Formule 1,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,15,"",380,No,0,"","",2005,Europe
Dark Ride,Mundo Aventura,Bogotï¿½,CO,CO,S,Steel,15,"",330,No,0,"","",2012,Latin America
Montaï¿½a Rusa,Mundo Aventura,Bogotï¿½,CO,CO,S,Steel,15,"",330,No,0,"","","",Latin America
Rugrats Runaway Reptar,Kings Island,Kings Mills,OH,US,S,Steel,14.6304,42.12,341.986,No,0,90,2.2,2001,North America
Cedar Creek Mine Ride,Cedar Point,Sandusky,OH,US,S,Steel,14.6304,68.04,774.192,No,0,162,"",1969,North America
Tony Hawk's Big Spin,Six Flags Fiesta Texas,San Antonio,TX,US,S,Steel,14.6304,50.22,411.785,No,0,"","",2007,North America
Taunusblitz,Taunus Wunderland,"Schlangenbad, Hesse",D,D,S,Steel,14,45,370,No,0,110,"",1999,Europe
Ghost Chasers,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,S,Steel,14,45,370,No,0,110,"",2000,Europe
Schlitt'Express,Nigloland,"Dolancourt, Champagne-Ardenne",F,F,S,Steel,14,45,370,No,0,"","",2007,Europe
Backlot Stunt Coaster,Kings Island,Kings Mills,OH,US,S,Steel,13.716,64.8,597.408,No,0,64,"",2005,North America
Himalayabahn,Schwaben Park,"Kaisersbach, Baden Wuerttemberg",D,D,S,Steel,13.5,"",460,No,0,"","",1989,Europe
Alpine Bobs,Holly Park,"ï¿½chemirï¿½, Pays de la Loire",F,F,S,Steel,13.5,50,538,No,0,"","",2003,Europe
Jet Star,Aventura Park,Lima,PE,PE,S,Steel,13.5,50,538,No,0,"","","",Latin America
Wild Cat,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,13.5,"",460,No,0,"","",1982,Latin America
JetStar,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,13.5,50,538,No,0,"","",1982,Latin America
Tig'rr Coaster,Indiana Beach,Monticello,IN,US,S,Steel,13.4112,50.22,537.972,No,0,"","",1984,North America
Pony Express,Knott's Berry Farm,Buena Park,CA,US,S,Steel,13.4112,61.56,396.24,No,0,"","",2008,North America
Jimmy Neutron's Atomic Flyer,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,S,Steel,13,"",294,No,0,"","",2007,Europe
Une Souris Verte,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,13,47,420,No,0,90,2.5,2007,Europe
Tigre de Sibï¿½rie,Le Pal,"Dompierre Sur Besbre, Centre",F,F,S,Steel,13,40,360,No,0,"","",1990,Europe
Ragondingue,Bagatelle,"Merlimont, Nord-Pas de Calais",F,F,S,Steel,13,47,420,No,0,90,2.5,2006,Europe
Wild Mouse,Fantasilandia,"Santiago, Santiago",CL,CL,S,Steel,13,46.8,420,No,0,90,2.5,2006,Latin America
Moto Bala,Mundo Petapa,"Guatamala City,",GT,GT,S,Steel,13,65,364,No,0,"","",2010,Latin America
Ratï¿½n Loco,La Feria Chapultpec,Mexico City,MX,MX,S,Steel,13,46.8,420,No,0,90,2.5,1999,Latin America
Woodstock Express,Cedar Point,Sandusky,OH,US,S,Steel,12.8016,45.36,334.975,No,0,66,"",1999,North America
Ragin' Cajun,Six Flags Great America,Gurnee,IL,US,S,Steel,12.8016,46.98,419.71,No,0,90,2.5,2004,North America
Wild Chipmunk,Lakeside Amusement Park,Denver,CO,US,S,Steel,12.4968,34.02,350.52,No,0,48,"",1955,North America
Colossu's Loop,Nicolandia Center Park,"Brasilia, BFD",BR,BR,S,Steel,12.4,"","",Yes,1,"","","",Latin America
Pepsi Python,Coney Island,Cincinnati,OH,US,S,Steel,12.192,"",335.28,No,0,84,"",1999,North America
Klondike Gold Rusher,Wild Waves Theme Park,Federal Way,WA,US,S,Steel,12.192,"","",No,0,"","",2002,North America
Quicksilver Express,Gilroy Gardens Family Theme Park,Gilroy,CA,US,S,Steel,11.5824,51.84,651.967,No,0,"","",2001,North America
Speedy,CentrO.Park,"Oberhausen, North Rhine-Westphalia",D,D,S,Steel,11.1,36,300,No,0,60,"",2001,Europe
Montaï¿½a Rusa,VulQano Park,Quito,EQ,EQ,S,Steel,11,"",365,Yes,1,"","",2005,Latin America
Roller Coaster,Nicolandia Center Park,"Brasilia, BFD",BR,BR,S,Steel,11,45,325,No,0,55,"",2002,Latin America
Looping,Sol park,"Aparecida, SP",BR,BR,S,Steel,11,"",365,Yes,1,"","","",Latin America
Roller Coaster,Nocolandia Center Park,Brasilia,BR,BR,S,Steel,11,45,325,No,0,55,"",2006,Latin America
Looping Star,Mirobillandia,"Olinda, PB",BR,BR,S,Steel,11,"",365,Yes,1,"","","",Latin America
Montaï¿½a Rusa,Mundo Divertido,Tijuana,MX,MX,S,Steel,11,"",365,Yes,1,"","",2002,Latin America
Montaï¿½a Rusa,Mundo Divertido,Mexicali,MX,MX,S,Steel,11,"",365,Yes,1,"","",2002,Latin America
Looping Thunder,Oaks Amusement Park,Portland,OR,US,S,Steel,10.9728,"",364.846,Yes,1,"","",1996,North America
Vol D'Icare,Parc Astï¿½rix,"Plailly, Picardie",F,F,S,Steel,10.7,42,410,No,0,75,"",1994,Europe
Sea Dragon,Jungle Jack's Landing,Powell,OH,US,W,Wood,10.668,"",402.336,No,0,90,"",1956,North America
Mine Train,Six Flags Over Texas,Arlington,TX,US,S,Steel,10.668,"",731.52,No,0,180,"",1966,North America
Lost Coaster of Superstition Mountain,Indiana Beach,Monticello,IN,US,W,Wood,10.668,32.4,426.72,No,0,"","",2002,North America
Tree Top Racers,Adventure City,Anaheim,CA,US,S,Steel,10.668,"",274.32,No,0,"","",1999,North America
Oachkatzl,Mï¿½rchenwald im Isartal,"Wolfratshausen, Bavaria",D,D,S,Steel,10.5,46,290,No,0,"",2.5,1999,Europe
Vertigo,Dunas,Valencia,VE,VE,S,Steel,10.1,"",200,Yes,1,60,"",2007,Latin America
Train de la Mine,La Coccinelle,"Gujan-Mestras, Aquitaine",F,F,S,Steel,10,40,300,No,0,60,"",2009,Europe
Grand Huit,La Rï¿½crï¿½ des 3 Curï¿½s,"Milizac, Brittany",F,F,S,Steel,10,"","",No,0,"","",2001,Europe
Corsaire,Cobac Parc,"Lanhï¿½lin, Brittany",F,F,S,Steel,10,40,300,No,0,"","",2007,Europe
Unknown,Parque Italo-Americano,"Caracas, DF",CO,CO,S,Steel,10,"","",No,0,"","",2011,Latin America
Screamin' Demon,Castle Amusement Park,Riverside,CA,US,S,Steel,9.7536,"","",No,0,"",2.5,2008,North America
O Munda da Xuxa,O Munda da Xuxa,Sï¿½o Paulo,BR,BR,S,Steel,9.5,40,320,No,0,"","","",Latin America
O Mundo de Xuxa,O Mundo de Xuxa Theme park,Sï¿½o Paulo,BR,BR,S,Steel,9.5,40,320,No,0,"","",1997,Latin America
Timberline Twister,Knott's Berry Farm,Buena Park,CA,US,S,Steel,9.144,"",146.304,No,0,55,"",1983,North America
Potts Blitz,Potts Park,"Minden, North Rhine-Westphalia",D,D,S,Steel,9,39,222,No,0,"","",1993,Europe
Familienachterbahn-Drachenbahn,Schloï¿½ Thurn,"Heroldsbach, Bavaria",D,D,S,Steel,9,39,222,No,0,"","",1998,Europe
Drachen-Achterbahn,Tier- und Freizeitpark Thï¿½le,"Friesoythe-Thï¿½le, Lower Saxony",D,D,S,Steel,9,39,222,No,0,"","",1998,Europe
